iter	MultiClass
0	0.6698656249
1	0.6485570978
2	0.6289445046
3	0.6110210455
4	0.595409542
5	0.5812970713
6	0.5691324455
7	0.5564655771
8	0.5461562212
9	0.5354086927
10	0.5244196146
11	0.5148515152
12	0.5073507982
13	0.498571529
14	0.4895462285
15	0.4828575445
16	0.4750481349
17	0.4699928408
18	0.4633434178
19	0.4580225033
20	0.4530434356
21	0.4470596998
22	0.4423930164
23	0.4379078038
24	0.4331776874
25	0.4294797004
26	0.4254987631
27	0.4213414232
28	0.4182581547
29	0.4150773968
30	0.4118752707
31	0.4085253218
32	0.405641302
33	0.4028105639
34	0.3997444067
35	0.3974615182
36	0.3936850868
37	0.3908643458
38	0.3884555677
39	0.3863355452
40	0.383939188
41	0.3810711548
42	0.3784560476
43	0.37641547
44	0.3740204949
45	0.3723232983
46	0.370500303
47	0.3684486971
48	0.3663370034
49	0.3645141606
50	0.3630157815
51	0.3613664805
52	0.358752191
53	0.3568383098
54	0.3550016618
55	0.3529165995
56	0.3507323903
57	0.3489228791
58	0.3473480671
59	0.3457977945
60	0.3441921798
61	0.3428693545
62	0.341400097
63	0.3400844757
64	0.3386919462
65	0.3373450364
66	0.3358491215
67	0.3346297626
68	0.3330527482
69	0.3319562519
70	0.3308818808
71	0.3290888271
72	0.3278200961
73	0.3263724419
74	0.3249044343
75	0.3237969959
76	0.3225410096
77	0.3212562488
78	0.3202286246
79	0.3190466977
80	0.3179934317
81	0.3170943691
82	0.3158410172
83	0.314517549
84	0.3133619825
85	0.3123278534
86	0.3113626568
87	0.310152068
88	0.3090095659
89	0.3082555844
90	0.307529577
91	0.3063266503
92	0.3054096854
93	0.3046074524
94	0.3034386665
95	0.3026941573
96	0.3018017327
97	0.300775416
98	0.2998656676
99	0.2992205278
100	0.2985384044
101	0.2976223316
102	0.2966911386
103	0.2957116653
104	0.2949169496
105	0.2940880037
106	0.293256886
107	0.2923408878
108	0.2916063974
109	0.290772371
110	0.2901068994
111	0.2891554334
112	0.2883463808
113	0.2876961674
114	0.286948489
115	0.2861707532
116	0.2854210724
117	0.2845293172
118	0.2840890945
119	0.2834983736
120	0.2828395376
121	0.2821162841
122	0.2814287802
123	0.2806111995
124	0.2798609969
125	0.2794222849
126	0.2789569806
127	0.278421485
128	0.277909097
129	0.27734943
130	0.2767630577
131	0.2761041816
132	0.2756036182
133	0.2749077699
134	0.2743724101
135	0.2739077588
136	0.2731365215
137	0.2725439313
138	0.2719052094
139	0.2712186075
140	0.2707860152
141	0.2702639557
142	0.269651612
