iter	Passed	Remaining
0	1325	1324214
1	2381	1188250
2	3264	1084788
3	4143	1031841
4	5016	998353
5	5891	976067
6	6771	960592
7	7658	949679
8	8531	939436
9	9399	930532
10	10286	924867
11	11143	917482
12	12018	912502
13	12895	908198
14	13753	903155
15	14619	899070
16	15484	895368
17	16363	892695
18	17225	889360
19	18090	886454
20	18964	884096
21	19856	882692
22	20724	880338
23	21590	877998
24	22462	876031
25	23325	873803
26	24187	871652
27	25057	869856
28	25928	868168
29	26812	866936
30	27678	865172
31	28554	863768
32	29420	862117
33	30282	860370
34	31144	858709
35	32014	857287
36	32875	855661
37	33743	854245
38	34611	852865
39	35497	851945
40	36359	850458
41	37227	849135
42	38109	848156
43	38980	846942
44	39845	845613
45	40709	844285
46	41579	843094
47	42453	841993
48	43324	840839
49	44191	839630
50	45060	838478
51	45939	837504
52	46807	836354
53	47676	835230
54	48535	833936
55	49437	833378
56	50303	832211
57	51166	831011
58	52037	829958
59	52903	828815
60	53769	827695
61	54632	826533
62	55503	825503
63	56366	824360
64	57242	823406
65	58108	822317
66	58967	821139
67	59843	820204
68	60709	819136
69	61589	818261
70	62457	817223
71	63333	816300
72	64192	815157
73	65065	814202
74	65924	813067
75	66795	812096
76	67665	811108
77	68530	810060
78	69393	809004
79	70261	808004
80	71121	806921
81	71986	805895
82	72851	804881
83	73727	803984
84	74600	803049
85	75469	802077
86	76336	801096
87	77207	800150
88	78071	799134
89	78939	798169
90	79800	797128
91	80672	796206
92	81537	795209
93	82410	794295
94	83276	793317
95	84137	792297
96	85003	791318
97	85864	790303
98	86749	789507
99	87623	788607
100	88490	787652
101	89358	786702
102	90220	785710
103	91085	784735
104	91969	783930
105	92843	783039
106	93704	782039
107	94571	781090
108	95460	780324
109	96326	779371
110	97194	778431
111	98052	777419
112	98929	776549
113	99791	775576
114	100664	774678
115	101526	773699
116	102392	772758
117	103265	771865
118	104130	770913
119	104995	769965
120	105858	769005
121	106727	768086
122	107592	767143
123	108464	766251
124	109332	765329
125	110199	764400
126	111057	763411
127	111924	762486
128	112794	761578
129	113657	760631
130	114518	759669
131	115382	758726
132	116244	757773
133	117119	756907
134	117983	755967
135	118852	755062
136	119723	754169
137	120590	753255
138	121498	752592
139	122393	751844
140	123262	750940
141	124117	749949
142	124987	749048
143	125847	748094
144	126713	747173
145	127576	746232
146	128445	745331
147	129306	744385
148	130178	743505
149	131040	742563
150	131906	741647
151	132769	740711
152	133640	739827
153	134517	738971
154	135382	738052
155	136245	737123
156	137112	736215
157	137979	735309
158	138844	734389
159	139735	733609
160	140594	732665
161	141465	731778
162	142329	730858
163	143202	729985
164	144069	729077
165	144938	728182
166	145803	727273
167	146688	726456
168	147558	725570
169	148422	724652
170	149290	723754
171	150156	722844
172	151024	721951
173	151911	721142
174	152781	720255
175	153647	719351
176	154516	718458
177	155400	717635
178	156271	716752
179	157128	715806
180	157992	714894
181	158855	713979
182	159724	713089
183	160596	712211
184	161461	711304
185	162327	710400
186	163225	709637
187	164097	708760
188	164976	707914
189	165844	707021
190	166710	706118
191	167573	705204
192	168447	704336
193	169310	703425
194	170179	702536
195	171033	701585
196	171904	700706
197	172775	699829
198	173638	698917
199	174506	698027
200	175391	697202
201	176255	696295
202	177145	695490
203	178006	694574
204	178877	693694
205	179744	692800
206	180612	691911
207	181474	690998
208	182343	690115
209	183205	689201
210	184075	688321
211	184937	687408
212	185800	686503
213	186666	685606
214	187545	684757
215	188456	684027
216	189361	683271
217	190231	682390
218	191091	681470
219	191959	680582
220	192826	679689
221	193686	678773
222	194565	677926
223	195429	677021
224	196299	676141
225	197167	675254
226	198026	674337
227	198903	673480
